name,value,value1
Total,0.022512891,
Information technology (IT),0.025372118,0.069091985
Professional and technical,0.014008212,0.086069359
Manufacturing,0.010507311,0.110469217
Construction,0.006866247,0.068666705
Administrative services,0.006428236,0.056393075
Transport and storage,0.003780288,0.044110711
"Agriculture, forestry and fishing",0.001529134,0.007096016
Water supply,0.000345815,0.013388421
Public administration and defence,0.000186062,0.053101109
Education,-0.000206951,0.063176273
Recreation and culture,-0.001420556,0.016436356
Other services,-0.001540501,0.021190873
Mining and quarrying,-0.002087217,0.011156108
Hotels and catering,-0.002794911,0.032992818
Wholesale and retail,-0.003061794,0.11328131
Real estate,-0.005436802,0.043964401
Energy,-0.008522412,0.016158477
Health and social care,-0.009248773,0.083735503
Finance and insurance,-0.012151287,0.089521284
Between-industry reallocation,-0.000039328,