age,maleBar,femaleBar
<1,900,850
1,850,800
2,845,810
3,840,815
4,880,820
5,890,830
6,860,760
7,780,720
8,740,730
9,820,770
10,780,770
11,900,850
12,870,850
13,850,860
14,980,900
15,1010,860
16,995,940
17,1050,950
18,995,945
19,945,950
20,900,820
21,840,860
22,900,920
23,895,930
24,910,895
25,890,930
26,810,870
27,780,860
28,750,780
29,780,900
30,810,890
31,760,860
32,690,790
33,720,730
34,660,760
35,730,760
36,755,800
37,770,810
38,840,970
39,930,1040
40,950,1050
41,915,1080
42,1000,1045
43,965,1110
44,1100,1190
45,1090,1220
46,1020,1140
47,1160,1160
48,1070,1190
49,1095,1170
50,1040,1050
51,995,1100
52,1020,1070
53,1030,1020
54,930,1010
55,900,960
56,890,930
57,880,1010
58,860,980
59,880,940
60,890,960
61,930,1050
62,970,1050
63,1120,1130
64,1070,1190
65,860,950
66,930,940
67,810,870
68,800,790
69,730,800
70,740,730
71,690,820
72,730,800
73,660,760
74,630,690
75,580,710
76,530,610
77,490,570
78,490,600
79,450,520
80,410,580
81,390,520
82,340,470
83,290,430
84,290,370
85,190,380
86,190,380
87,190,380
88,190,380
89,190,380
90+,190,380