date,Emigration,Immigration,Net migration
Jun-21,-262000,176000,-87000
Sep-21,-283000,170000,-113000
Dec-21,-233000,164000,-69000
Mar-22,-254000,167000,-87000
Jun-22,-240000,172000,-67000
Sep-22,-244000,169000,-75000
Dec-22,-247000,166000,-81000
Mar-23,-249000,166000,-83000
Jun-23,-252000,161000,-91000
Sep-23,-253000,156000,-97000
Dec-23,-255000,150000,-104000
Mar-24,-257000,146000,-112000
Jun-24,-257000,142000,-115000
Sep-24,-259000,143000,-116000
Dec-24,-257000,143000,-114000
Mar-25,-255000,143000,-112000
Jun-25,-252000,143000,-109000